date,balance,Type,type,price,quantity,date,Type,Metric,Value,Type,Date,Date,Open,High,Low,Close,Adj Close,Volume,bb_upper,bb_lower,kc_upper,kc_lower,chaikin,sma_100,signal_long,signal_short,buy_signal,sell_signal,Type
2023-04-24,90165.66354075016,Performance,buy,110.05599975585938,15.978279747603773,2021-09-01,Trade History,,,,,2023-04-24,133.96099853515625,134.72500610351562,133.88999938964844,133.96099853515625,133.96099853515625,0.0,135.17750020090756,130.58480143483462,136.08302203070076,130.5802501002383,0.0,132.9627705383301,0.0,0.0,,,Data with Signals
2023-04-25,90138.90971611849,Performance,buy,110.09600067138672,15.653024909643166,2021-09-02,Trade History,,,,,2023-04-25,134.08399963378906,134.44900512695312,133.7469940185547,134.08399963378906,134.08399963378906,0.0,135.24586824943935,130.8015331787833,136.0263553468803,130.78022413040534,0.0,132.93709060668945,0.0,0.0,,,Data with Signals
2023-04-26,88336.13152179612,Performance,sell,110.09600067138672,15.696568599562093,2021-09-02,Trade History,,,,,2023-04-26,133.71099853515625,133.86599731445312,133.0260009765625,133.71099853515625,133.71099853515625,0.0,135.20126602218517,131.11263473465078,136.0073687280926,130.85782194852894,0.0,132.90534057617188,0.0,0.0,,,Data with Signals
2023-04-27,88326.76166065545,Performance,buy,109.94499969482422,15.675395201849552,2021-09-03,Trade History,,,,,2023-04-27,133.46499633789062,134.1820068359375,133.2949981689453,133.46499633789062,133.46499633789062,0.0,135.23186843944734,131.1709315483456,135.93419205607188,130.93717023951723,0.0,132.87618057250975,0.0,0.0,,,Data with Signals
2023-04-28,88353.1552188288,Performance,sell,109.94499969482422,16.036431986048314,2021-09-03,Trade History,,,,,2023-04-28,133.802001953125,136.5290069580078,133.73399353027344,133.802001953125,133.802001953125,0.0,135.27872481907266,131.1841749612008,136.3147474024802,130.62639028460043,0.0,132.84806060791016,0.0,0.0,,,Data with Signals
2023-05-01,90216.61348138962,Performance,buy,109.76399993896484,15.708476416902977,2021-09-06,Trade History,,,,,2023-05-01,136.38600158691406,137.40199279785156,136.26300048828125,136.38600158691406,136.38600158691406,0.0,135.85049303943515,130.91630688732266,137.00724605713611,130.48921215249192,0.0,132.84480056762695,0.0,0.0,,,Data with Signals
2023-05-02,90214.62562962678,Performance,sell,109.76399993896484,16.020336036811322,2021-09-06,Trade History,,,,,2023-05-02,137.52099609375,137.76499938964844,136.40899658203125,137.52099609375,137.52099609375,0.0,136.64493482752306,130.64406511144176,137.3188408801916,130.8962396130433,0.0,132.8449705505371,0.0,0.0,,,Data with Signals
2023-05-03,88410.33311703424,Performance,sell,109.76399993896484,15.655870401946293,2021-09-06,Trade History,,,,,2023-05-03,136.46600341796875,136.56900024414062,135.07200622558594,136.46600341796875,136.46600341796875,0.0,136.9617734220095,130.82532679771705,137.7040925253445,130.9602190481478,0.0,132.8537905883789,0.0,0.0,,,Data with Signals
2023-05-04,88416.72546345067,Performance,buy,109.81999969482422,16.019658055890236,2021-09-07,Trade History,,,,,2023-05-04,134.54400634765625,134.8699951171875,133.68600463867188,134.54400634765625,134.54400634765625,0.0,136.83385291122485,131.31424736953684,137.93265551400216,130.77200854728252,0.0,132.84575057983398,0.0,0.0,,,Data with Signals
2023-05-05,88452.98190885532,Performance,sell,109.81999969482422,15.664811677675896,2021-09-07,Trade History,,,,,2023-05-05,134.1790008544922,135.0850067138672,133.88600158691406,134.1790008544922,134.1790008544922,0.0,136.72914793877865,131.66995179266664,137.8035465229923,130.86810207616855,0.0,132.81003051757813,0.0,0.0,,,Data with Signals
2023-05-08,90291.7420495679,Performance,buy,110.2959976196289,15.943456663681848,2021-09-08,Trade History,,,,,2023-05-08,135.19900512695312,135.20599365234375,134.66400146484375,135.19900512695312,135.19900512695312,0.0,136.7249414777279,131.9843587542057,137.751112637246,131.08495135760487,0.0,132.7951205444336,0.0,0.0,,,Data with Signals
2023-05-09,90273.91551755734,Performance,buy,110.21800231933594,15.635644203281458,2021-09-09,Trade History,,,,,2023-05-09,135.072998046875,135.33599853515625,134.73699951171875,135.072998046875,135.072998046875,0.0,136.78833290160432,132.08136772095426,137.61014915691305,131.35067027592822,0.0,132.77590057373047,0.0,0.0,,,Data with Signals
2023-05-10,88468.4372072062,Performance,sell,110.21800231933594,15.690849105944865,2021-09-09,Trade History,,,,,2023-05-10,135.28799438476562,135.45599365234375,134.30999755859375,135.28799438476562,135.28799438476562,0.0,136.86781501827076,132.1712856287019,137.60727652980376,131.50736855415084,0.0,132.80986053466796,0.0,0.0,,,Data with Signals
2023-05-11,88436.34499908562,Performance,buy,109.78099822998048,15.698993344302819,2021-09-10,Trade History,,,,,2023-05-11,134.08700561523438,134.84100341796875,133.7519989013672,134.08700561523438,134.08700561523438,0.0,136.83463216034437,132.304668376765,137.56458320144446,131.46047770598767,0.0,132.82703063964843,0.0,0.0,,,Data with Signals
2023-05-12,88432.28742579537,Performance,sell,109.78099822998048,16.000717160414798,2021-09-10,Trade History,,,,,2023-05-12,134.4980010986328,135.62899780273438,134.40199279785156,134.4980010986328,134.4980010986328,0.0,136.72525304358237,132.6151476522184,137.5662405607005,131.4560528505253,0.0,132.8484407043457,0.0,0.0,,,Data with Signals
2023-05-15,90249.40709474396,Performance,buy,109.91500091552734,15.685881062793804,2021-09-13,Trade History,,,,,2023-05-15,135.82200622558594,136.31199645996094,135.71600341796875,135.82200622558594,135.82200622558594,0.0,136.84998177262054,132.67552024153963,137.74564593094257,131.52633500789713,0.0,132.87876083374024,0.0,0.0,,,Data with Signals
2023-05-16,90232.35197692501,Performance,sell,109.91500091552734,15.978279747603773,2021-09-13,Trade History,,,,,2023-05-16,136.0449981689453,136.6750030517578,135.697998046875,136.0449981689453,136.0449981689453,0.0,136.99695889207584,132.6905426338031,137.76977566882528,131.77058768897166,0.0,132.91157073974608,0.0,0.0,,,Data with Signals
2023-05-17,88427.70493738652,Performance,sell,109.91500091552734,15.675395201849552,2021-09-13,Trade History,,,,,2023-05-17,136.42999267578125,137.5659942626953,136.3040008544922,136.42999267578125,136.42999267578125,0.0,137.18896346379145,132.73713669489993,137.931890830202,131.92462700319163,0.0,132.9410107421875,0.0,0.0,,,Data with Signals
2023-05-18,88459.81031843422,Performance,buy,109.99400329589844,15.99374129732085,2021-09-14,Trade History,,,,,2023-05-18,137.61399841308594,138.65899658203125,137.31100463867188,137.61399841308594,137.61399841308594,0.0,137.6109676263057,132.60613289859663,138.32618753452428,132.04189972675297,0.0,132.97681076049804,0.0,0.0,,,Data with Signals
2023-05-19,88543.86991048793,Performance,sell,109.99400329589844,15.653024909643166,2021-09-14,Trade History,,,,,2023-05-19,138.6199951171875,138.64700317382812,137.46200561523438,138.6199951171875,138.6199951171875,0.0,138.21495006005185,132.46454975684267,138.57988302974815,132.44267118134792,0.0,133.0338507080078,0.0,0.0,,,Data with Signals
