date,balance,Type,type,price,quantity,date,Type,Metric,Value,Type,Date,Date,Open,High,Low,Close,Adj Close,Volume,bb_upper,bb_lower,kc_upper,kc_lower,chaikin,sma_100,signal_long,signal_short,buy_signal,sell_signal,Type
2020-02-19,85807.07746595512,Performance,buy,7286.0,0.2358525894329067,2020-01-31,Trade History,,,,,2020-02-19,7382.0,7462.0,7382.0,7457.0,7457.0,602975900.0,7584.82128163121,7312.40869883754,7624.32571145626,7318.421283811716,-69052057.25187194,,0.0,0.0,,,Data with Signals
2020-02-20,85804.75717636992,Performance,sell,7286.0,0.23097313206196468,2020-01-31,Trade History,,,,,2020-02-20,7457.0,7480.5,7436.60009765625,7436.60009765625,7436.60009765625,780481500.0,7578.597473773803,7311.522496929321,7614.808967731259,7321.314522779053,-247044278.08064842,,0.0,0.0,,,Data with Signals
2020-02-21,85818.27348925034,Performance,buy,7326.2998046875,0.23445818187525463,2020-02-03,Trade History,,,,,2020-02-21,7436.60009765625,7436.7001953125,7370.60009765625,7403.89990234375,7403.89990234375,872594700.0,7553.711803197957,7318.198157739544,7607.312884866973,7316.589302231643,-295302581.04302317,,0.0,0.0,,,Data with Signals
2020-02-24,87424.84652936122,Performance,sell,7326.2998046875,0.23229661383566066,2020-02-03,Trade History,,,,,2020-02-24,7403.89990234375,7403.89990234375,7114.5,7156.7998046875,7156.7998046875,1081479400.0,7592.561150647222,7253.818780993403,7619.530668153451,7246.247463923868,-531713973.0896773,,0.0,0.0,,,Data with Signals
2020-02-25,90567.80372023433,Performance,sell,7326.2998046875,0.22719447005809906,2020-02-03,Trade History,,,,,2020-02-25,7156.7998046875,7198.2001953125,7004.89990234375,7017.89990234375,7017.89990234375,976469000.0,7642.403574931187,7157.696327412564,7599.051603403718,7187.680973684094,-848994552.4994786,,0.0,0.0,,,Data with Signals
2020-02-26,92009.24003002774,Performance,buy,7439.7998046875,0.2353133347888154,2020-02-04,Trade History,,,,,2020-02-26,7017.89990234375,7044.7001953125,6871.89990234375,7042.5,7042.5,982409600.0,7662.532912312644,7093.456980265481,7578.961030311697,7140.939872767753,-596984987.644068,,0.0,0.0,,,Data with Signals
2020-02-27,91782.51327207476,Performance,sell,7439.7998046875,0.22959736385596755,2020-02-04,Trade History,,,,,2020-02-27,7042.5,7042.5,6730.0,6796.39990234375,6796.39990234375,1224827000.0,7729.739783512892,6967.690099299607,7563.955208600464,7048.602732727371,-663722302.4709449,,0.0,0.0,,,Data with Signals
2020-02-28,93217.59628727744,Performance,buy,7482.5,0.2338568110409084,2020-02-05,Trade History,,,,,2020-02-28,6796.39990234375,6796.39990234375,6460.10009765625,6580.60009765625,6580.60009765625,1979835300.0,7820.8082184549,6806.081674123225,7534.359446546254,6939.9739475420265,-809198527.5698109,,0.0,0.0,,,Data with Signals
2020-03-02,93011.3005057535,Performance,buy,7504.7998046875,0.22849868903501433,2020-02-06,Trade History,,,,,2020-03-02,6580.60009765625,6775.2001953125,6496.0,6654.89990234375,6654.89990234375,1770844200.0,7862.638176811803,6697.111725531948,7503.782384300777,6859.643048892191,-717250636.6250503,,0.0,0.0,,,Data with Signals
2020-03-03,91151.07449563843,Performance,sell,7504.7998046875,0.23255121577279567,2020-02-06,Trade History,,,,,2020-03-03,6654.89990234375,6846.2998046875,6654.89990234375,6718.2001953125,6718.2001953125,1277190200.0,7870.202531094354,6617.387410311896,7465.422157224512,6809.715176676268,-752012363.1636667,,0.0,0.0,,,Data with Signals
2020-03-04,89328.05300572565,Performance,buy,7466.7001953125,0.22974609131295565,2020-02-07,Trade History,,,,,2020-03-04,6718.2001953125,6856.2998046875,6700.2001953125,6815.60009765625,6815.60009765625,1115783100.0,7853.266456843406,6567.63349432847,7433.267600956107,6780.542386412457,-527975475.7788789,,0.0,0.0,,,Data with Signals
2020-03-05,87541.49194561114,Performance,sell,7466.7001953125,0.2347666723546105,2020-02-07,Trade History,,,,,2020-03-05,6815.60009765625,6834.10009765625,6662.60009765625,6705.39990234375,6705.39990234375,1146893100.0,7834.188785183232,6506.771175754268,7396.613534421597,6740.719292691628,-571106520.8876109,,0.0,0.0,,,Data with Signals
2020-03-06,87519.26394511826,Performance,buy,7446.89990234375,0.2304576334922241,2020-02-10,Trade History,,,,,2020-03-06,6705.39990234375,6705.39990234375,6431.39990234375,6462.60009765625,6462.60009765625,1377953500.0,7836.582667821688,6403.967283350187,7359.8503499677545,6662.04127411683,-875422337.1036234,,0.0,0.0,,,Data with Signals
2020-03-09,90644.9784855736,Performance,sell,7446.89990234375,0.23447739436941387,2020-02-10,Trade History,,,,,2020-03-09,6462.60009765625,6462.60009765625,5891.60009765625,5965.7998046875,5965.7998046875,2098798700.0,7904.349302710615,6188.090638695635,7335.84553613154,6486.970657980703,-1414573872.9463067,,0.0,0.0,,,Data with Signals
2020-03-10,92109.39043473118,Performance,sell,7446.89990234375,0.2358525894329067,2020-02-10,Trade History,,,,,2020-03-10,5965.7998046875,6231.10009765625,5927.89990234375,5960.2001953125,5960.2001953125,1729622400.0,7921.892114502114,6016.62785620101,7262.584112303536,6379.049624333732,-1939617027.2715664,,0.0,0.0,,,Data with Signals
2020-03-11,91894.36731756637,Performance,buy,7499.39990234375,0.23360816316010577,2020-02-11,Trade History,,,,,2020-03-11,5960.2001953125,6088.5,5860.7998046875,5876.5,5876.5,1507518600.0,7913.4822691220015,5859.2477113467485,7173.947567381771,6287.816289575758,-2391596668.007622,,0.0,0.0,,,Data with Signals
2020-03-12,93235.05132513285,Performance,sell,7499.39990234375,0.23295046740356354,2020-02-11,Trade History,,,,,2020-03-12,5876.5,5876.5,5237.5,5237.5,5237.5,2209275500.0,7994.529796754692,5556.750183714057,7111.2382752501735,6066.071881044733,-3062030846.6716785,,0.0,0.0,,,Data with Signals
2020-03-13,93002.54388932881,Performance,buy,7534.39990234375,0.23250987633066936,2020-02-12,Trade History,,,,,2020-03-13,5237.5,5696.5,5237.5,5366.10009765625,5366.10009765625,1935105000.0,8000.539375394544,5346.440605074206,7032.463210717419,5911.97933024583,-3328632743.3012333,,0.0,0.0,,,Data with Signals
2020-03-16,91142.49301154223,Performance,buy,7452.0,0.23037921923367652,2020-02-13,Trade History,,,,,2020-03-16,5366.10009765625,5366.10009765625,4898.7998046875,5151.10009765625,5151.10009765625,2111567500.0,7993.621170727385,5125.13883903824,6942.295350991355,5750.50506181468,-3081465571.7164707,,0.0,0.0,,,Data with Signals
2020-03-17,89319.6431513114,Performance,sell,7452.0,0.23445818187525463,2020-02-13,Trade History,,,,,2020-03-17,5151.10009765625,5309.0,4978.7998046875,5294.89990234375,5294.89990234375,1941164900.0,7937.566435608783,4972.4835643912165,6848.295821655869,5644.2188189484,-2135323917.1550798,,0.0,0.0,,,Data with Signals
2020-03-18,89298.74106276532,Performance,buy,7409.10009765625,0.23179520423333572,2020-02-14,Trade History,,,,,2020-03-18,5294.89990234375,5294.89990234375,5006.2001953125,5080.60009765625,5080.60009765625,1837075100.0,7858.858716548693,4813.551293216931,6734.934268328525,5535.550425105101,-1837397841.7156305,,0.0,0.0,,,Data with Signals
2020-03-19,87512.76624151,Performance,sell,7409.10009765625,0.2353133347888154,2020-02-14,Trade History,,,,,2020-03-19,5080.60009765625,5181.0,4942.39990234375,5151.60009765625,5151.60009765625,1963412200.0,7740.093984309586,4703.816025456039,6629.588175437118,5453.536089604019,-1077715163.4981117,,0.0,0.0,,,Data with Signals
2020-03-20,85762.5109166798,Performance,buy,7433.2998046875,0.23111070979095585,2020-02-17,Trade History,,,,,2020-03-20,5151.60009765625,5419.2998046875,5151.60009765625,5190.7998046875,5190.7998046875,2585565700.0,7590.835502001788,4631.764497998212,6543.551131943106,5377.523165891733,-1250709014.4635792,,0.0,0.0,,,Data with Signals
2020-03-23,87518.89254029773,Performance,sell,7433.2998046875,0.2338568110409084,2020-02-17,Trade History,,,,,2020-03-23,5190.7998046875,5194.7998046875,4922.7998046875,4993.89990234375,4993.89990234375,1629604900.0,7477.382453120097,4528.927556645527,6447.774824362215,5289.178093172877,-1455214366.6460361,,0.0,0.0,,,Data with Signals
2020-03-24,85768.51468949179,Performance,sell,7433.2998046875,0.22974609131295565,2020-02-17,Trade History,,,,,2020-03-24,4993.89990234375,5446.0,4993.89990234375,5446.0,5446.0,1582421000.0,7340.462822325487,4508.657197205764,6438.482002547957,5217.999208555222,-903085841.0255852,,0.0,0.0,,,Data with Signals
2020-03-25,84053.14439570195,Performance,buy,7382.0,0.23739892675991414,2020-02-18,Trade History,,,,,2020-03-25,5446.0,5741.39990234375,5400.5,5688.2001953125,5688.2001953125,1860995600.0,7178.833946500677,4534.856092561823,6431.959907067199,5197.846940180914,-187794637.3671627,,0.0,0.0,,,Data with Signals
2020-03-26,82372.08150778791,Performance,sell,7382.0,0.22849868903501433,2020-02-18,Trade History,,,,,2020-03-26,5688.2001953125,5815.7001953125,5503.39990234375,5815.7001953125,5815.7001953125,1536739000.0,7057.539167882147,4558.080900477227,6432.754276036989,5197.204337247018,610859140.2537527,,0.0,0.0,,,Data with Signals
2020-03-27,82317.42495799209,Performance,buy,7457.0,0.2348350336923672,2020-02-19,Trade History,,,,,2020-03-27,5815.7001953125,5815.7001953125,5407.10009765625,5510.2998046875,5510.2998046875,1457210400.0,6957.885087345989,4550.704951716511,6422.730059271562,5149.194363163968,652601812.8186283,,0.0,0.0,,,Data with Signals
2020-03-30,80671.07645883225,Performance,buy,7436.60009765625,0.2307696429528285,2020-02-20,Trade History,,,,,2020-03-30,5510.2998046875,5567.2001953125,5351.7998046875,5563.7001953125,5563.7001953125,1136875400.0,6831.887554713334,4567.582513646041,6381.946337108794,5147.642463249543,960328540.8121119,,0.0,0.0,,,Data with Signals
2020-03-31,79057.6549296556,Performance,sell,7436.60009765625,0.2304576334922241,2020-02-20,Trade History,,,,,2020-03-31,5563.7001953125,5702.7001953125,5545.89990234375,5672.0,5672.0,1602112800.0,6678.697816065185,4616.152232762939,6344.199122711528,5167.714553803157,1309062527.8796654,,0.0,0.0,,,Data with Signals
2020-04-01,77476.50183106249,Performance,buy,7403.89990234375,0.23178259649136504,2020-02-21,Trade History,,,,,2020-04-01,5672.0,5672.0,5414.7001953125,5454.60009765625,5454.60009765625,1670362100.0,6462.273688433244,4696.476360394881,6308.484892646739,5146.027499943929,966076489.7089615,,0.0,0.0,,,Data with Signals
2020-04-02,75926.97179444124,Performance,sell,7403.89990234375,0.23360816316010577,2020-02-21,Trade History,,,,,2020-04-02,5454.60009765625,5552.39990234375,5395.10009765625,5480.2001953125,5480.2001953125,1554286900.0,6234.271189568736,4801.958888556263,6259.562503317288,5147.891603371888,778497322.3527441,,0.0,0.0,,,Data with Signals
2020-04-03,77975.02798709244,Performance,buy,7156.7998046875,0.2398230377578588,2020-02-24,Trade History,,,,,2020-04-03,5480.2001953125,5486.2998046875,5396.7001953125,5415.5,5415.5,1180517400.0,6036.383386163978,4895.136682195398,6196.242190501356,5156.311525074565,412993686.1364813,,0.0,0.0,,,Data with Signals
2020-04-06,78098.99190323649,Performance,sell,7156.7998046875,0.23250987633066936,2020-02-24,Trade History,,,,,2020-04-06,5415.5,5590.60009765625,5415.5,5582.39990234375,5582.39990234375,1207951800.0,5972.759282110571,4920.4207960144295,6171.133419754204,5163.538970975202,574273697.4989777,,0.0,0.0,,,Data with Signals
2020-04-07,78242.51468977105,Performance,sell,7156.7998046875,0.23179520423333572,2020-02-24,Trade History,,,,,2020-04-07,5582.39990234375,5780.2001953125,5582.39990234375,5704.5,5704.5,1563928500.0,5920.369184882217,4947.240873711532,6164.368387962137,5177.382822697802,704775158.3051205,,0.0,0.0,,,Data with Signals
2020-04-08,76677.66439597563,Performance,buy,7017.89990234375,0.2491481718061102,2020-02-25,Trade History,,,,,2020-04-08,5704.5,5704.5,5589.7001953125,5677.7001953125,5677.7001953125,1133735000.0,5881.085627904505,4966.644450220495,6139.885665745504,5203.165466815869,886400191.2921858,,0.0,0.0,,,Data with Signals
2020-04-09,75144.11110805612,Performance,sell,7017.89990234375,0.23037921923367652,2020-02-25,Trade History,,,,,2020-04-09,5677.7001953125,5842.7001953125,5677.7001953125,5842.7001953125,5842.7001953125,1290301300.0,5937.370520780222,4970.879576876027,6143.010859037599,5232.644964767928,1290669919.2148762,,0.0,0.0,,,Data with Signals
2020-04-14,75354.92613896859,Performance,sell,7017.89990234375,0.2348350336923672,2020-02-25,Trade History,,,,,2020-04-14,5842.7001953125,5894.7001953125,5779.0,5791.2998046875,5791.2998046875,1056846100.0,5978.282561560381,4972.487506798995,6131.55270058759,5263.812055176935,1073946061.819973,,0.0,0.0,,,Data with Signals
2020-04-15,77022.86752433615,Performance,sell,7017.89990234375,0.23178259649136504,2020-02-25,Trade History,,,,,2020-04-15,5791.2998046875,5791.7001953125,5576.39990234375,5597.7001953125,5597.7001953125,1375971300.0,5980.2826118341645,5015.147466290836,6121.7191844602,5254.601346052941,536473272.90541744,,0.0,0.0,,,Data with Signals
2020-04-16,78686.29464999658,Performance,buy,7042.5,0.2572035604408501,2020-02-26,Trade History,,,,,2020-04-16,5597.7001953125,5657.60009765625,5577.7998046875,5628.39990234375,5628.39990234375,1073687700.0,5990.78079312103,5037.999285003971,6089.936451490777,5275.001152753256,359441489.8457422,,0.0,0.0,,,Data with Signals
2020-04-17,78697.13836395266,Performance,sell,7042.5,0.23111070979095585,2020-02-26,Trade History,,,,,2020-04-17,5628.39990234375,5839.2998046875,5628.39990234375,5787.0,5787.0,1204085900.0,5996.0133366989085,5103.406731660467,6101.256770842845,5283.591537758899,447446738.8943691,,0.0,0.0,,,Data with Signals
2020-04-20,78725.28115407043,Performance,sell,7042.5,0.2307696429528285,2020-02-26,Trade History,,,,,2020-04-20,5787.0,5823.89990234375,5707.7001953125,5812.7998046875,5812.7998046875,822613800.0,6003.435835198761,5162.104203863739,6095.917956357813,5311.85904755567,654506549.8643513,,0.0,0.0,,,Data with Signals
2020-04-21,78732.54655081154,Performance,buy,6796.39990234375,0.2707587586136543,2020-02-27,Trade History,,,,,2020-04-21,5812.7998046875,5812.7998046875,5641.0,5641.0,5641.0,888662400.0,5985.914949624432,5224.645108969318,6085.316209026116,5310.4820326098925,396956022.5462198,,0.0,0.0,,,Data with Signals
